playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,classification
johnsba99,Pioneer/Executive,Centennial, , , , , , , , , , , , , , , , , , ,Y
mackco01,Manager,Centennial,0.2445,5,265,659,0.3002, , , , , ,3318,916,3731,3948,263, , , ,Y
mcgrajo01,Manager,Veterans,0.3336,13,462,1309,0.4100, , , , , ,1408,2288,2763,1948,100, , , ,Y
wrighge01,Pioneer/Executive,Centennial,0.3016,11,330,867,0.3993,0.0000,1.8000,0,5.0000,12,901,2092,59,25,1, , , ,Y
alexape01,Player,BBWAA,0.2088,11,163,378,0.2746,0.6420,2.5595,32,5189.9999,2198,189,1419, , , , ,21, ,Y
dinnebi01,Player,BBWAA,0.1916,1,60,219,0.2187,0.4899,3.0120,7,3074.6667,1127,160,800, , , , , , ,N
barryja01,Player,BBWAA,0.2434,10,429,1009,0.3032, , , , , ,2226,3590,90,62,2, ,2, ,N
nichoki01,Player,BBWAA,0.2258,16,278,471,0.2996,0.6344,2.9547,17,5056.3333,1868,382,1034,80,88,11, , , ,N
fosteed02,Player,BBWAA,0.2636,6,451,1490,0.3257, , , , , ,1845,3174, , , , , , ,N
stengca01,Manager,BBWAA,0.2843,60,535,1219,0.4102, , , , , ,2171,147,1905,1842,112, , ,3,N
beaumgi01,Player,BBWAA,0.3108,39,617,1759,0.3926, , , , , ,2860,168, , , , , , ,N
chapmra01,Player,BBWAA,0.2782,17,364,1053,0.3773, , , , , ,2358,3182, , , , ,3, ,N
coaklan01,Player,BBWAA,0.1170,0,6,42,0.1309,0.4957,2.3500,3,1072.3333,428,45,260, , , , , , ,N
coopewi01,Player,BBWAA,0.2388,6,106,293,0.3089,0.5482,2.8940,14,3480.0002,1252,102,785, , , , ,5, ,N
covelst01,Player,BBWAA,0.1588,1,81,168,0.2051,0.6022,2.8910,21,3081.9999,981,174,851, , , , ,3, ,N
cranddo01,Player,BBWAA,0.2852,9,126,253,0.3980,0.6220,2.9211,25,1546.6667,606,195,609, , , , , , ,N
cruiswa01,Player,BBWAA,0.2775,30,272,644,0.3856, , , , , ,1314,58, , , , , , ,N
dahlebi01,Player,BBWAA,0.2721,84,1233,2457,0.3818, , , , , ,5353,8133,251,355,26, , , ,N
ehmkeho01,Player,BBWAA,0.2081,0,73,210,0.2577,0.5000,3.7459,14,2820.6667,1030,143,853, , , , ,1, ,N
flickel01,Player,BBWAA,0.3130,48,756,1752,0.4452, , , , , ,2406,247, , , , , , ,N
granted01,Player,BBWAA,0.2493,5,277,844,0.2948, , , , , ,1187,1780, , , , , , ,N
harribu01,Manager,BBWAA,0.2739,9,506,1297,0.3539, , , , , ,3415,3844,2158,2219,141, , ,1,N
herzobu01,Player,BBWAA,0.2593,20,445,1370,0.3352, , , , , ,2804,3949,165,226,22, ,2, ,N
irwinch01,Player,BBWAA,0.2666,16,488,981,0.3438, , , , , ,1472,2064, , , , , , ,N
jonesfi01,Player,BBWAA,0.2846,21,631,1920,0.3467, , , , , ,3584,228,683,582,39, , , ,N
lathaar01,Player,BBWAA,0.2687,27,563,1833,0.3414, , , , , ,2079,3655,0,3,11, , , ,N
marbefi01,Player,BBWAA,0.1916,1,65,128,0.2365,0.6271,3.6308,101,2067.3332,822,92,370, , , , , , ,N
